Disease,Symptoms,Treatment
Cutar ƙwayoyin cuta ta bushewar shuka,Bushewar ganye rawayar ganye da rubewar laushi,Cire tsire-tsiren da suka kamu da cuta kuma a guji taruwar ruwa a ƙasa.
Cutar Anthracnose ta doya,Baƙaƙen digo a ganye lalacewar ganye da bushewar kara,A yi amfani da maganin kashe ƙwayoyin fungus kuma a inganta tsaftar gona.
Cutar Mosaic Cassava,ganye rawaya da tsarin mosaic girma ya ragu,Yi amfani da iri masu juriya kuma cire tsire-tsire masu cuta
Cutar Bacterial Blight,ganye suna bushewa da tabo a jiki,Yi amfani da tsaba masu tsafta
Cutar Root Rot,tushen yana rubewa da wari mara kyau,Inganta magudanar ruwa
Cutar Anthracnose Yam,baƙaƙen digo a ganye da bushewar kara,Yi amfani da maganin fungus
Rubewar Tuber Yam,tuber yana lalacewa da wari,Ajiye a wuri bushe
Cutar Leaf Spot,tabo a ganye da rawaya,Yi amfani da fungicide
Cutar Virus Sweet Potato,ganye na murɗewa da rawaya,Yi amfani da tsaba marasa cuta
Bacterial Wilt,shuka na bushewa da rubewa,Cire tsire-tsire masu cuta
Leaf Blight,ganye suna bushewa da launin ruwan kasa,Yi amfani da fungicide
Root Knot Nematode,tushen yana kumbura da ganye rawaya,Yi juyar da amfanin gona
Cutar Green Mite,ganye suna lalacewa,Yi amfani da hanyoyin kare shuka
Ibajewar Beetle Yam,ramuka a tuber,Yi amfani da maganin kwari
Early Blight,tabo mai launin ruwan kasa,Yi amfani da fungicide
Late Blight,ruwa a jikin ganye,Yi amfani da iri masu juriya
Fusarium Wilt,ganye rawaya da mutuwar shuka,Yi juyar da amfanin gona
Downy Mildew,fari a karkashin ganye,Yi amfani da fungicide
Black Rot,tabo baki a tushen,Cire tsire-tsire masu cuta
Soft Rot,tissue mai laushi da wari,Inganta ajiyar kaya
Leaf Curl,ganye suna murɗewa,Yi amfani da tsaba masu kyau
Stem Rot,kara tana lalacewa,Inganta magudanar ruwa
Cassava Mosaic Disease,alamun rawaya da kore a ganye siffar ganye ta canza girma ya tsaya,Shuka nau'in da ke jure wa cutar cire kuma a kona shukokin da suka kamu da cutar shawo kan farin fara mai daukar cuta
Cassava Brown Streak Disease,layuka masu launin ruwan kasa a kan tsiro alamun rawaya a ganye ruɓewa mai launin ruwan kasa a cikin tushen,Yi amfani da tsaba mai tabbaci wanda babu cuta cire kuma a lalata shukokin da suka kamu da cutar
