Disease,Symptoms,Treatment
Ọrịa Anthracnose nke ji,Akpụkpọ ojii n’akwụkwọ mmebi akwụkwọ na ịnwụ̀ nke ogwe osisi,Tinye ọgwụ igbochi fungus ma mee ka ịdị ọcha n’ubi ka mma.
Ọrịa mosaic nke akpụ̀,Akwụkwọ odo odo ụdị mosaic n’akwụkwọ na uto na-adịghị mma,Jiri ụdị akpụ̀ na-eguzogide ọrịa ma wepụ osisi ndị ọrịa kpara.
Ọrịa Mosaic Cassava,akwụkwọ odo na ụdị mosaic uto na-adịghị mma,Jiri ụdị na-eguzogide ọrịa ma wepụ osisi ọrịa
Ọrịa Bacterial Blight,akwụkwọ na-anwụ na ntụpọ ojii,Jiri mkpụrụ dị ọcha
Ọrịa Root Rot,mkpụrụ na-ere ere na isi ọjọọ,Mee ka mmiri na-apụ ngwa
Ọrịa Anthracnose Yam,akpụkpọ ojii na akwụkwọ na ịnwụ̀,Tinye ọgwụ fungus
Ọrịa Tuber Rot,tuber na-ere ere na isi ọjọọ,Debe ya n’ebe kpọrọ nkụ
Ọrịa Leaf Spot,ntụpọ na akwụkwọ odo,Tinye fungicide
Ọrịa Virus Sweet Potato,akwụkwọ na-agbanwe agba,Jiri mkpụrụ na-enweghị ọrịa
Bacterial Wilt,osisi na-anwụ ngwa ngwa,Wepụ osisi ọrịa
Leaf Blight,akwụkwọ na-acha aja aja,Tinye fungicide
Root Knot Nematode,mkpụrụ na-akpụ akpụ,Gbanwee ihe ubi
Ọrịa Green Mite,akwụkwọ na-emebi,Jiri ụzọ nchebe
Ibajẹ Beetle Yam,oghere na tuber,Jiri ọgwụ kwari
Early Blight,ntụpọ aja aja na akwụkwọ,Tinye fungicide
Late Blight,mmiri na akwụkwọ,Tinye ọgwụ
Fusarium Wilt,akwụkwọ odo na ọnwụ osisi,Gbanwee ihe ubi
Downy Mildew,fari n'okpuru akwụkwọ,Tinye fungicide
Black Rot,ntụpọ ojii na mgbọrọgwụ,Wepụ osisi ọrịa
Soft Rot,akụkụ dị nro na isi ọjọọ,Mee ka nchekwa dị mma
Leaf Curl,akwụkwọ na-agbagọ,Jiri mkpụrụ dị mma
Stem Rot,ogwe osisi na-emebi,Meziwanye drainageCassava Mosaic Disease,ihe odide edo edo na akwukwo ndu ewepụtara akwukwo uto akwadoro,Kụọ ụdị na-enweghị nrịa nrịa wepụ ma kpọọ ọkụ nnwepụ ọ na-eburu arịrị ọcha
Cassava Brown Streak Disease,ahịrị aja aja na ogwe ntụpọ edo edo na akwụkwọ ire aja aja n'ime mgbọrọgwụ,Jiri ihe ọkụkụ enyere aka nke na-enweghị ọrịa wepụ ma bibie osisi ndị ọrịa jidere
